experiment,scheduler,workload,param,granularity,accounts,transactions,seed,threads,runs,dep_density,critical_path,ceiling,rounds_median,executions_median,aborts_median,waits_median,refusals_median,abort_rate_median,wall_ms_median,wall_ms_min,wall_ms_max,prep_ms_median,seq_ms_median,speedup_median,verified
alloc,sequential,transfer,uniform-sparse,slot,200000,2000,2026,1,5,0.019000,2,1000.00,1,2000,0,0,0,0.000000,3.4142,3.2720,3.5843,0.0000,3.4348,1.0060,true
alloc,blockstm,transfer,uniform-sparse,slot,200000,2000,2026,1,5,0.019000,2,1000.00,0,2000,0,0,0,0.000000,5.2394,4.8760,5.3476,0.0000,3.4348,0.6556,true
alloc,blockstm,transfer,uniform-sparse,slot,200000,2000,2026,2,5,0.019000,2,1000.00,0,2000,0,0,0,0.000000,3.4434,3.3960,3.4866,0.0000,3.4348,0.9975,true
alloc,blockstm,transfer,uniform-sparse,slot,200000,2000,2026,4,5,0.019000,2,1000.00,0,2000,0,0,0,0.000000,2.4161,2.4009,2.4509,0.0000,3.4348,1.4216,true
alloc,blockstm,transfer,uniform-sparse,slot,200000,2000,2026,6,5,0.019000,2,1000.00,0,2000,0,0,0,0.000000,2.3338,2.3074,2.3507,0.0000,3.4348,1.4718,true
alloc,sequential,compute,1024b,slot,200000,2000,2026,1,5,0.006000,2,1000.00,1,2000,0,0,0,0.000000,8.1099,8.0480,8.1305,0.0000,8.1920,1.0101,true
alloc,blockstm,compute,1024b,slot,200000,2000,2026,1,5,0.006000,2,1000.00,0,2000,0,0,0,0.000000,9.6101,9.4653,9.7800,0.0000,8.1920,0.8524,true
alloc,blockstm,compute,1024b,slot,200000,2000,2026,2,5,0.006000,2,1000.00,0,2000,0,0,0,0.000000,5.4309,5.3929,5.4730,0.0000,8.1920,1.5084,true
alloc,blockstm,compute,1024b,slot,200000,2000,2026,4,5,0.006000,2,1000.00,0,2000,0,0,0,0.000000,3.1529,3.1286,3.1663,0.0000,8.1920,2.5982,true
alloc,blockstm,compute,1024b,slot,200000,2000,2026,6,5,0.006000,2,1000.00,0,2000,0,0,0,0.000000,2.4845,2.4644,2.5287,0.0000,8.1920,3.2972,true
alloc,sequential,erc20,uniform,slot,200000,2000,2026,1,5,0.019000,2,1000.00,1,2000,0,0,0,0.000000,7.4421,7.1228,7.6554,0.0000,7.2449,0.9735,true
alloc,blockstm,erc20,uniform,slot,200000,2000,2026,1,5,0.019000,2,1000.00,0,2000,0,0,0,0.000000,9.5476,9.3536,9.7666,0.0000,7.2449,0.7588,true
alloc,blockstm,erc20,uniform,slot,200000,2000,2026,2,5,0.019000,2,1000.00,0,2000,0,0,0,0.000000,5.6517,5.4977,5.9078,0.0000,7.2449,1.2819,true
alloc,blockstm,erc20,uniform,slot,200000,2000,2026,4,5,0.019000,2,1000.00,0,2000,0,0,0,0.000000,3.1893,3.1733,3.2653,0.0000,7.2449,2.2716,true
alloc,blockstm,erc20,uniform,slot,200000,2000,2026,6,5,0.019000,2,1000.00,0,2000,0,0,0,0.000000,2.4522,2.4410,2.5015,0.0000,7.2449,2.9544,true
