experiment,scheduler,workload,param,granularity,accounts,transactions,seed,threads,runs,dep_density,critical_path,ceiling,rounds_median,executions_median,aborts_median,waits_median,refusals_median,abort_rate_median,wall_ms_median,wall_ms_min,wall_ms_max,prep_ms_median,seq_ms_median,speedup_median,verified
alloc,sequential,transfer,uniform-sparse,slot,200000,2000,2026,1,5,0.019000,2,1000.00,1,2000,0,0,0,0.000000,4.9371,4.8777,4.9958,0.0000,4.7483,0.9618,true
alloc,blockstm,transfer,uniform-sparse,slot,200000,2000,2026,1,5,0.019000,2,1000.00,0,2000,0,0,0,0.000000,6.5753,6.5322,6.8180,0.0000,4.7483,0.7221,true
alloc,blockstm,transfer,uniform-sparse,slot,200000,2000,2026,2,5,0.019000,2,1000.00,0,2000,0,0,0,0.000000,5.9685,5.9188,6.0976,0.0000,4.7483,0.7956,true
alloc,blockstm,transfer,uniform-sparse,slot,200000,2000,2026,4,5,0.019000,2,1000.00,0,2000,0,0,0,0.000000,4.5453,4.4930,4.5782,0.0000,4.7483,1.0447,true
alloc,blockstm,transfer,uniform-sparse,slot,200000,2000,2026,6,5,0.019000,2,1000.00,0,2000,0,0,0,0.000000,3.9740,3.8883,4.1483,0.0000,4.7483,1.1948,true
alloc,sequential,compute,1024b,slot,200000,2000,2026,1,5,0.006000,2,1000.00,1,2000,0,0,0,0.000000,9.7533,9.7201,9.8020,0.0000,9.7527,0.9999,true
alloc,blockstm,compute,1024b,slot,200000,2000,2026,1,5,0.006000,2,1000.00,0,2000,0,0,0,0.000000,11.0124,10.9194,11.2123,0.0000,9.7527,0.8856,true
alloc,blockstm,compute,1024b,slot,200000,2000,2026,2,5,0.006000,2,1000.00,0,2000,0,0,0,0.000000,7.9925,7.9719,8.2833,0.0000,9.7527,1.2202,true
alloc,blockstm,compute,1024b,slot,200000,2000,2026,4,5,0.006000,2,1000.00,0,2000,0,0,0,0.000000,5.2584,5.2527,5.2877,0.0000,9.7527,1.8547,true
alloc,blockstm,compute,1024b,slot,200000,2000,2026,6,5,0.006000,2,1000.00,0,2000,0,0,0,0.000000,4.2962,4.2683,4.3688,0.0000,9.7527,2.2701,true
alloc,sequential,erc20,uniform,slot,200000,2000,2026,1,5,0.019000,2,1000.00,1,2000,0,0,0,0.000000,9.3268,9.1347,9.4022,0.0000,9.2286,0.9895,true
alloc,blockstm,erc20,uniform,slot,200000,2000,2026,1,5,0.019000,2,1000.00,0,2000,0,0,0,0.000000,11.7498,11.5424,11.9199,0.0000,9.2286,0.7854,true
alloc,blockstm,erc20,uniform,slot,200000,2000,2026,2,5,0.019000,2,1000.00,0,2000,0,0,0,0.000000,8.6158,8.5405,8.6783,0.0000,9.2286,1.0711,true
alloc,blockstm,erc20,uniform,slot,200000,2000,2026,4,5,0.019000,2,1000.00,0,2000,0,0,0,0.000000,5.4402,5.3927,5.4512,0.0000,9.2286,1.6964,true
alloc,blockstm,erc20,uniform,slot,200000,2000,2026,6,5,0.019000,2,1000.00,0,2000,0,0,0,0.000000,4.4649,4.3397,4.5478,0.0000,9.2286,2.0669,true
