experiment,scheduler,workload,param,granularity,accounts,transactions,seed,threads,runs,dep_density,critical_path,ceiling,rounds_median,executions_median,aborts_median,waits_median,refusals_median,abort_rate_median,wall_ms_median,wall_ms_min,wall_ms_max,prep_ms_median,seq_ms_median,speedup_median,verified
main,sequential,transfer,uniform-sparse,slot,200000,2000,2026,1,5,0.019000,2,1000.00,1,2000,0,0,0,0.000000,3.3135,3.2493,3.4007,0.0000,3.3236,1.0030,true
main,blockstm-rounds,transfer,uniform-sparse,slot,200000,2000,2026,1,5,0.019000,2,1000.00,1,2000,0,0,0,0.000000,4.7693,4.7007,4.9397,0.0000,3.3236,0.6969,true
main,blockstm,transfer,uniform-sparse,slot,200000,2000,2026,1,5,0.019000,2,1000.00,0,2000,0,0,0,0.000000,5.1135,4.9785,5.1506,0.0000,3.3236,0.6500,true
main,static,transfer,uniform-sparse,slot,200000,2000,2026,1,5,0.019000,2,1000.00,2,2000,0,0,0,0.000000,3.6837,3.5038,5.1675,6.2229,3.3236,0.9022,true
main,blockstm-rounds,transfer,uniform-sparse,slot,200000,2000,2026,2,5,0.019000,2,1000.00,2,2008,8,0,0,0.003984,3.0322,2.9952,3.1399,0.0000,3.3236,1.0961,true
main,blockstm,transfer,uniform-sparse,slot,200000,2000,2026,2,5,0.019000,2,1000.00,0,2000,0,0,0,0.000000,3.2597,3.2205,3.5598,0.0000,3.3236,1.0196,true
main,static,transfer,uniform-sparse,slot,200000,2000,2026,2,5,0.019000,2,1000.00,2,2000,0,0,0,0.000000,2.5480,2.4434,2.6814,6.2841,3.3236,1.3044,true
main,blockstm-rounds,transfer,uniform-sparse,slot,200000,2000,2026,4,5,0.019000,2,1000.00,2,2009,9,0,0,0.004480,2.3757,2.3586,2.4021,0.0000,3.3236,1.3990,true
main,blockstm,transfer,uniform-sparse,slot,200000,2000,2026,4,5,0.019000,2,1000.00,0,2000,0,0,0,0.000000,2.4603,2.3984,2.4850,0.0000,3.3236,1.3509,true
main,static,transfer,uniform-sparse,slot,200000,2000,2026,4,5,0.019000,2,1000.00,2,2000,0,0,0,0.000000,2.1406,2.0900,2.3054,6.2248,3.3236,1.5526,true
main,blockstm-rounds,transfer,uniform-sparse,slot,200000,2000,2026,6,5,0.019000,2,1000.00,2,2013,13,0,0,0.006458,2.4417,2.4190,2.4438,0.0000,3.3236,1.3612,true
main,blockstm,transfer,uniform-sparse,slot,200000,2000,2026,6,5,0.019000,2,1000.00,0,2000,0,0,0,0.000000,2.3597,2.3462,3.4858,0.0000,3.3236,1.4085,true
main,static,transfer,uniform-sparse,slot,200000,2000,2026,6,5,0.019000,2,1000.00,2,2000,0,0,0,0.000000,2.1785,2.1538,2.2060,6.1771,3.3236,1.5257,true
main,blockstm-rounds,transfer,uniform-sparse,slot,200000,2000,2026,8,5,0.019000,2,1000.00,2,2014,14,0,0,0.006951,3.9075,3.8505,3.9656,0.0000,3.3236,0.8506,true
main,blockstm,transfer,uniform-sparse,slot,200000,2000,2026,8,5,0.019000,2,1000.00,0,2000,0,0,0,0.000000,3.4677,3.4592,3.4829,0.0000,3.3236,0.9584,true
main,static,transfer,uniform-sparse,slot,200000,2000,2026,8,5,0.019000,2,1000.00,2,2000,0,0,0,0.000000,3.4017,3.2125,3.4367,6.1945,3.3236,0.9770,true
main,blockstm-rounds,transfer,uniform-sparse,slot,200000,2000,2026,12,5,0.019000,2,1000.00,2,2012,12,0,0,0.005964,4.4878,4.3613,4.5923,0.0000,3.3236,0.7406,true
main,blockstm,transfer,uniform-sparse,slot,200000,2000,2026,12,5,0.019000,2,1000.00,0,2000,0,0,0,0.000000,4.2497,4.2030,6.1262,0.0000,3.3236,0.7821,true
main,static,transfer,uniform-sparse,slot,200000,2000,2026,12,5,0.019000,2,1000.00,2,2000,0,0,0,0.000000,3.6321,3.6069,3.7603,6.2239,3.3236,0.9151,true
main,sequential,transfer,uniform-r10,slot,20000,2000,2026,1,5,0.169500,5,400.00,1,2000,0,0,0,0.000000,2.9237,2.9075,2.9275,0.0000,2.9547,1.0106,true
main,blockstm-rounds,transfer,uniform-r10,slot,20000,2000,2026,1,5,0.169500,5,400.00,1,2000,0,0,0,0.000000,4.2083,4.0378,4.2604,0.0000,2.9547,0.7021,true
main,blockstm,transfer,uniform-r10,slot,20000,2000,2026,1,5,0.169500,5,400.00,0,2000,0,0,0,0.000000,4.6189,4.4960,5.2838,0.0000,2.9547,0.6397,true
main,static,transfer,uniform-r10,slot,20000,2000,2026,1,5,0.169500,5,400.00,5,2000,0,0,0,0.000000,3.4363,3.3360,3.4864,4.3741,2.9547,0.8599,true
